epoch,accuracy,loss,val_accuracy,val_loss
0,0.20533333718776703,3.224789619445801,0.17816667258739471,2.290856122970581
1,0.24979999661445618,2.2301244735717773,0.33799999952316284,2.2192585468292236
2,0.3016666769981384,1.8938134908676147,0.382999986410141,1.6402980089187622
3,0.34956666827201843,1.7155972719192505,0.3930000066757202,2.0516841411590576
4,0.38440001010894775,1.6040688753128052,0.4151666760444641,1.5420786142349243
5,0.40543332695961,1.5204994678497314,0.4208333194255829,1.5066968202590942
6,0.4297333359718323,1.4660536050796509,0.45266667008399963,1.4548828601837158
7,0.45096665620803833,1.415915846824646,0.4671666622161865,1.3945633172988892
8,0.4683666527271271,1.3718385696411133,0.4790000021457672,1.5120857954025269
9,0.4844333231449127,1.3266795873641968,0.5191666483879089,1.2721173763275146
10,0.5014333128929138,1.290490984916687,0.5203333497047424,1.2773476839065552
11,0.5188999772071838,1.247912883758545,0.5090000033378601,1.2791837453842163
12,0.5326333045959473,1.2129765748977661,0.5318333506584167,1.2690341472625732
13,0.550433337688446,1.1784216165542603,0.5368333458900452,1.2808493375778198
14,0.5666333436965942,1.1328190565109253,0.5756666660308838,1.1273993253707886
15,0.5827999711036682,1.0943992137908936,0.5516666769981384,1.2061784267425537
16,0.5997999906539917,1.056405782699585,0.5973333120346069,1.0854814052581787
17,0.6191666722297668,1.00409996509552,0.5978333353996277,1.1012717485427856
18,0.6334666609764099,0.9706153869628906,0.5923333168029785,1.1460565328598022
19,0.6549666523933411,0.9185366034507751,0.5946666598320007,1.3832405805587769
20,0.6758000254631042,0.8691128492355347,0.6023333072662354,1.0899921655654907
21,0.6958333253860474,0.8111634254455566,0.6050000190734863,1.236101508140564
22,0.7197333574295044,0.7609134316444397,0.64083331823349,1.0203014612197876
23,0.7415666580200195,0.6976267695426941,0.6345000267028809,1.0216965675354004
24,0.7594000101089478,0.6481186151504517,0.5898333191871643,1.3386354446411133
25,0.7871999740600586,0.5787668228149414,0.6554999947547913,1.044246792793274
26,0.8140666484832764,0.5130866169929504,0.6163333058357239,1.31378173828125
27,0.8321333527565002,0.4614243507385254,0.6480000019073486,1.2047085762023926
28,0.8544333577156067,0.40365585684776306,0.6401666402816772,1.2771481275558472
29,0.8687999844551086,0.36038321256637573,0.6258333325386047,1.4433642625808716
